event_id,event_name,genre,date,venue_name,latitude,longitude,ticket_price,organizer,description
4e82ba09,Education Fest 2026,Comedy,2025-10-06,Potawatomi Hotel,43.0339,-87.9332,Free,Midwest Startups,Workshops and interactive exhibits.
886b9d75,Business Fest 2025,Education,2025-09-11,Milwaukee Art Museum,43.0389,-87.8971,$62,Milwaukee Events Co.,Family-friendly activities and vendors.
5ec5f696,Comedy Fest 2025,Tech,2025-09-09,UWM Campus,43.0766,-87.88,$63,Milwaukee Events Co.,Top comedians on stage.
a0db0e08,Cultural Fest 2026,Cultural,2025-10-22,Bradley Symphony Center,43.0385,-87.906,Free,Local Arts Council,Workshops and interactive exhibits.
54789bba,Education Fest 2025,Food,2025-09-27,Discovery World,43.0387,-87.8966,$129,City of Milwaukee,Family-friendly activities and vendors.
f6046e3b,Comedy Fest 2025,Comedy,2025-09-30,Lakefront Brewery,43.0525,-87.9058,Free,Local Arts Council,Community event celebrating Milwaukee.
723f3fc9,Food Fest 2025,Tech,2025-10-22,Pabst Theater,43.0431,-87.9104,$30,UWM Student Union,Community event celebrating Milwaukee.
2c727a66,Music Fest 2025,Education,2025-10-07,Potawatomi Hotel,43.0339,-87.9332,$12,City of Milwaukee,Networking and inspiration for professionals.
ee4d0053,Art Fest 2025,Comedy,2025-10-06,UWM Campus,43.0766,-87.88,$142,Midwest Startups,"Discover flavors, music, and culture."
9dd88d4b,Sports Fest 2024,Art,2025-10-03,UWM Campus,43.0766,-87.88,Free,Taste of Milwaukee,Family-friendly activities and vendors.
abbeb37b,Family Fest 2024,Business,2025-11-24,Lakefront Brewery,43.0525,-87.9058,Free,UWM Student Union,Networking and inspiration for professionals.
9632c6c3,Sports Fest 2024,Business,2025-09-05,Turner Hall Ballroom,43.0432,-87.9105,$60,Comedy Nights WI,Workshops and interactive exhibits.
a7782de4,Sports Fest 2025,Business,2025-11-28,Pabst Theater,43.0431,-87.9104,$168,Wisconsin Tech Society,Networking and inspiration for professionals.
22bdadc5,Education Fest 2024,Sports,2025-11-25,Lakefront Brewery,43.0525,-87.9058,$86,Midwest Startups,Live performances and great vibes.
312eae74,Music Fest 2026,Cultural,2025-10-26,UWM Campus,43.0766,-87.88,Free,Milwaukee Events Co.,Family-friendly activities and vendors.
8a9dfd12,Sports Fest 2024,Tech,2025-11-17,Fiserv Forum,43.0437,-87.9172,Free,UWM Student Union,Workshops and interactive exhibits.
6df6d512,Education Fest 2024,Business,2025-10-12,Lakefront Brewery,43.0525,-87.9058,$103,Milwaukee Events Co.,Workshops and interactive exhibits.
48270de5,Tech Fest 2025,Food,2025-11-13,Milwaukee Art Museum,43.0389,-87.8971,$19,UWM Student Union,Workshops and interactive exhibits.
50ef7ca0,Food Fest 2026,Family,2025-10-21,Milwaukee Art Museum,43.0389,-87.8971,$77,Local Arts Council,Networking and inspiration for professionals.
8b0f454b,Art Fest 2025,Education,2025-12-13,Fiserv Forum,43.0437,-87.9172,$31,Comedy Nights WI,Community event celebrating Milwaukee.
ad0e9420,Cultural Fest 2026,Tech,2025-09-10,Fiserv Forum,43.0437,-87.9172,Free,Wisconsin Tech Society,Top comedians on stage.
8e6aafa7,Tech Fest 2025,Business,2025-12-17,Fiserv Forum,43.0437,-87.9172,$19,Milwaukee Events Co.,"Discover flavors, music, and culture."
54cba977,Music Fest 2025,Education,2025-10-22,Bradley Symphony Center,43.0385,-87.906,$100,MKE Live,Family-friendly activities and vendors.
c3023d0c,Cultural Fest 2026,Art,2025-08-30,Marcus Performing Arts Center,43.0415,-87.9098,$62,MKE Live,Community event celebrating Milwaukee.
6424898f,Business Fest 2026,Art,2025-12-15,Marcus Performing Arts Center,43.0415,-87.9098,Free,Local Arts Council,"Discover flavors, music, and culture."
9d28b11d,Business Fest 2026,Comedy,2025-10-11,Pabst Theater,43.0431,-87.9104,$164,Midwest Startups,Top comedians on stage.
cd2d5b24,Music Fest 2024,Family,2025-09-05,Turner Hall Ballroom,43.0432,-87.9105,$26,Local Arts Council,Community event celebrating Milwaukee.
a904d57c,Food Fest 2026,Sports,2025-09-06,Discovery World,43.0387,-87.8966,$16,Local Arts Council,Family-friendly activities and vendors.
abc76b27,Cultural Fest 2026,Business,2025-08-25,Lakefront Brewery,43.0525,-87.9058,$11,City of Milwaukee,Community event celebrating Milwaukee.
799bc11e,Business Fest 2026,Comedy,2025-10-27,Milwaukee Art Museum,43.0389,-87.8971,Free,Lakefront Promotions,Workshops and interactive exhibits.
1a6788e9,Family Fest 2026,Business,2025-11-04,Bradley Symphony Center,43.0385,-87.906,$21,UWM Student Union,Workshops and interactive exhibits.
9e356227,Music Fest 2024,Family,2025-12-16,Fiserv Forum,43.0437,-87.9172,Free,Local Arts Council,Family-friendly activities and vendors.
cf016b0f,Food Fest 2026,Family,2025-10-02,UWM Campus,43.0766,-87.88,Free,Wisconsin Tech Society,Community event celebrating Milwaukee.
6e883277,Family Fest 2026,Tech,2025-08-23,Fiserv Forum,43.0437,-87.9172,$97,City of Milwaukee,Top comedians on stage.
61546f7c,Tech Fest 2025,Education,2025-09-13,Fiserv Forum,43.0437,-87.9172,$31,Taste of Milwaukee,Networking and inspiration for professionals.
d3a507b8,Education Fest 2026,Cultural,2025-11-01,Potawatomi Hotel,43.0339,-87.9332,$180,Local Arts Council,Networking and inspiration for professionals.
10663241,Cultural Fest 2025,Comedy,2025-10-08,Lakefront Brewery,43.0525,-87.9058,Free,MKE Live,Community event celebrating Milwaukee.
9700c01e,Art Fest 2025,Tech,2025-09-01,Discovery World,43.0387,-87.8966,Free,Taste of Milwaukee,Networking and inspiration for professionals.
7f2a1510,Tech Fest 2025,Sports,2025-09-13,Fiserv Forum,43.0437,-87.9172,$30,City of Milwaukee,Workshops and interactive exhibits.
5cfec759,Cultural Fest 2024,Comedy,2025-12-14,Pabst Theater,43.0431,-87.9104,$25,Midwest Startups,Top comedians on stage.
abcbf952,Family Fest 2025,Comedy,2025-12-12,Bradley Symphony Center,43.0385,-87.906,Free,City of Milwaukee,Top comedians on stage.
beb21bff,Comedy Fest 2025,Sports,2025-11-04,Milwaukee Art Museum,43.0389,-87.8971,$179,Wisconsin Tech Society,"Discover flavors, music, and culture."
4adc568b,Art Fest 2026,Sports,2025-11-19,Bradley Symphony Center,43.0385,-87.906,$24,Local Arts Council,Community event celebrating Milwaukee.
bca88dc1,Business Fest 2025,Family,2025-08-24,Milwaukee Art Museum,43.0389,-87.8971,$116,Comedy Nights WI,Top comedians on stage.
424d8e41,Tech Fest 2025,Cultural,2025-10-05,Marcus Performing Arts Center,43.0415,-87.9098,$123,Wisconsin Tech Society,Top comedians on stage.
d2384848,Cultural Fest 2026,Art,2025-10-30,Lakefront Brewery,43.0525,-87.9058,$182,Comedy Nights WI,Workshops and interactive exhibits.
a37cf89f,Cultural Fest 2026,Tech,2025-10-26,UWM Campus,43.0766,-87.88,$27,Lakefront Promotions,Family-friendly activities and vendors.
806e88ce,Business Fest 2026,Art,2025-10-20,Lakefront Brewery,43.0525,-87.9058,$115,Local Arts Council,Community event celebrating Milwaukee.
a4b03861,Education Fest 2025,Business,2025-12-11,Milwaukee Art Museum,43.0389,-87.8971,$40,City of Milwaukee,Workshops and interactive exhibits.
ad607d7b,Cultural Fest 2024,Business,2025-11-07,Marcus Performing Arts Center,43.0415,-87.9098,Free,Wisconsin Tech Society,Networking and inspiration for professionals.
dd209599,Art Fest 2025,Business,2025-12-07,Marcus Performing Arts Center,43.0415,-87.9098,$190,Wisconsin Tech Society,"Discover flavors, music, and culture."
c45b5777,Cultural Fest 2025,Education,2025-12-13,Milwaukee Art Museum,43.0389,-87.8971,$123,Taste of Milwaukee,"Discover flavors, music, and culture."
10f8d4b5,Tech Fest 2025,Sports,2025-12-14,Bradley Symphony Center,43.0385,-87.906,Free,MKE Live,Family-friendly activities and vendors.
61d778c9,Cultural Fest 2025,Business,2025-09-16,Marcus Performing Arts Center,43.0415,-87.9098,$18,Comedy Nights WI,Live performances and great vibes.
909ab01e,Family Fest 2026,Music,2025-11-09,Bradley Symphony Center,43.0385,-87.906,$10,Comedy Nights WI,Top comedians on stage.
cfed4928,Art Fest 2025,Food,2025-12-02,Turner Hall Ballroom,43.0432,-87.9105,$169,UWM Student Union,Networking and inspiration for professionals.
652aed11,Business Fest 2024,Comedy,2025-09-14,Turner Hall Ballroom,43.0432,-87.9105,Free,Local Arts Council,Family-friendly activities and vendors.
6b319a34,Tech Fest 2024,Art,2025-10-25,Discovery World,43.0387,-87.8966,$129,MKE Live,Community event celebrating Milwaukee.
fb07a2e8,Food Fest 2025,Business,2025-11-06,Lakefront Brewery,43.0525,-87.9058,$48,City of Milwaukee,Community event celebrating Milwaukee.
2c81a628,Sports Fest 2025,Tech,2025-12-06,Turner Hall Ballroom,43.0432,-87.9105,$133,UWM Student Union,Top comedians on stage.
0766ad9a,Art Fest 2025,Sports,2025-09-16,Bradley Symphony Center,43.0385,-87.906,$19,Comedy Nights WI,Live performances and great vibes.
c992eaf6,Art Fest 2026,Cultural,2025-08-23,UWM Campus,43.0766,-87.88,Free,Wisconsin Tech Society,Live performances and great vibes.
fb8f7b22,Music Fest 2024,Food,2025-11-27,Turner Hall Ballroom,43.0432,-87.9105,$15,UWM Student Union,Workshops and interactive exhibits.
44d43ec7,Cultural Fest 2026,Education,2025-11-11,Pabst Theater,43.0431,-87.9104,Free,Milwaukee Events Co.,Networking and inspiration for professionals.
7abc035a,Education Fest 2024,Music,2025-08-23,Milwaukee Art Museum,43.0389,-87.8971,Free,Local Arts Council,Live performances and great vibes.
28ec12df,Education Fest 2025,Cultural,2025-10-05,Discovery World,43.0387,-87.8966,$120,Local Arts Council,"Discover flavors, music, and culture."
27a03c0d,Business Fest 2026,Family,2025-09-23,Turner Hall Ballroom,43.0432,-87.9105,$46,Lakefront Promotions,Family-friendly activities and vendors.
510a8615,Family Fest 2025,Cultural,2025-11-19,Lakefront Brewery,43.0525,-87.9058,Free,Taste of Milwaukee,Live performances and great vibes.
bbd1a240,Food Fest 2024,Tech,2025-10-24,Pabst Theater,43.0431,-87.9104,$29,UWM Student Union,Community event celebrating Milwaukee.
62b7e1eb,Art Fest 2025,Cultural,2025-09-04,Turner Hall Ballroom,43.0432,-87.9105,$39,UWM Student Union,Community event celebrating Milwaukee.
5610fb12,Food Fest 2025,Sports,2025-12-16,Milwaukee Art Museum,43.0389,-87.8971,Free,MKE Live,Community event celebrating Milwaukee.
8788d92e,Education Fest 2025,Tech,2025-12-07,Bradley Symphony Center,43.0385,-87.906,$22,City of Milwaukee,Live performances and great vibes.
013591dd,Cultural Fest 2024,Food,2025-11-13,Milwaukee Art Museum,43.0389,-87.8971,$34,Milwaukee Events Co.,Workshops and interactive exhibits.
f962777b,Music Fest 2024,Music,2025-10-09,Milwaukee Art Museum,43.0389,-87.8971,$140,Wisconsin Tech Society,Family-friendly activities and vendors.
5f3b29e5,Music Fest 2025,Family,2025-09-28,UWM Campus,43.0766,-87.88,$20,Comedy Nights WI,"Discover flavors, music, and culture."
73cf3499,Art Fest 2024,Tech,2025-12-04,Potawatomi Hotel,43.0339,-87.9332,$44,UWM Student Union,Networking and inspiration for professionals.
a449f79d,Cultural Fest 2025,Education,2025-12-15,UWM Campus,43.0766,-87.88,$18,Local Arts Council,Networking and inspiration for professionals.
dd09d710,Food Fest 2025,Comedy,2025-10-05,Turner Hall Ballroom,43.0432,-87.9105,$25,Lakefront Promotions,Networking and inspiration for professionals.
4497cdf0,Sports Fest 2026,Business,2025-09-29,Lakefront Brewery,43.0525,-87.9058,Free,Local Arts Council,"Discover flavors, music, and culture."
cf9c5c3d,Education Fest 2024,Business,2025-09-15,Potawatomi Hotel,43.0339,-87.9332,$47,City of Milwaukee,Workshops and interactive exhibits.
cbba79b3,Art Fest 2026,Tech,2025-09-10,Marcus Performing Arts Center,43.0415,-87.9098,$28,Milwaukee Events Co.,Workshops and interactive exhibits.
d3267375,Comedy Fest 2026,Comedy,2025-10-31,Pabst Theater,43.0431,-87.9104,$30,Midwest Startups,Community event celebrating Milwaukee.
3fc896bc,Cultural Fest 2026,Sports,2025-10-07,Bradley Symphony Center,43.0385,-87.906,$44,Taste of Milwaukee,Live performances and great vibes.
4d2e61c6,Art Fest 2025,Food,2025-12-14,Bradley Symphony Center,43.0385,-87.906,Free,City of Milwaukee,"Discover flavors, music, and culture."
fca887b4,Art Fest 2024,Family,2025-12-20,Bradley Symphony Center,43.0385,-87.906,$72,Milwaukee Events Co.,"Discover flavors, music, and culture."
0be16777,Comedy Fest 2026,Tech,2025-09-03,UWM Campus,43.0766,-87.88,$146,Wisconsin Tech Society,Live performances and great vibes.
e01ec03a,Family Fest 2025,Education,2025-09-13,Potawatomi Hotel,43.0339,-87.9332,$10,Milwaukee Events Co.,Top comedians on stage.
a6d75fb7,Tech Fest 2024,Comedy,2025-09-16,Turner Hall Ballroom,43.0432,-87.9105,Free,Midwest Startups,Top comedians on stage.
a325f044,Family Fest 2026,Art,2025-09-30,Bradley Symphony Center,43.0385,-87.906,Free,Taste of Milwaukee,Top comedians on stage.
3d21c2e9,Family Fest 2024,Comedy,2025-10-24,Discovery World,43.0387,-87.8966,$195,Midwest Startups,Networking and inspiration for professionals.
876bf83d,Education Fest 2026,Music,2025-10-06,Lakefront Brewery,43.0525,-87.9058,$22,Midwest Startups,"Discover flavors, music, and culture."
78b0d7cf,Food Fest 2024,Education,2025-09-11,Fiserv Forum,43.0437,-87.9172,Free,Comedy Nights WI,"Discover flavors, music, and culture."
6c430453,Art Fest 2024,Tech,2025-09-01,Fiserv Forum,43.0437,-87.9172,Free,UWM Student Union,"Discover flavors, music, and culture."
9ed5ee84,Art Fest 2026,Education,2025-12-12,UWM Campus,43.0766,-87.88,$102,Local Arts Council,Top comedians on stage.
9423aa9e,Comedy Fest 2026,Tech,2025-11-15,Potawatomi Hotel,43.0339,-87.9332,$29,City of Milwaukee,Top comedians on stage.
3dd6f9ce,Family Fest 2025,Cultural,2025-11-15,UWM Campus,43.0766,-87.88,Free,Lakefront Promotions,Top comedians on stage.
6aaa1eea,Art Fest 2024,Family,2025-09-12,Milwaukee Art Museum,43.0389,-87.8971,$24,Lakefront Promotions,Top comedians on stage.
a18a67b4,Business Fest 2024,Education,2025-10-13,Discovery World,43.0387,-87.8966,$12,City of Milwaukee,Community event celebrating Milwaukee.
8b2ec55d,Education Fest 2026,Education,2025-12-20,Marcus Performing Arts Center,43.0415,-87.9098,Free,Lakefront Promotions,"Discover flavors, music, and culture."
969aacd0,Tech Fest 2026,Tech,2025-09-11,Potawatomi Hotel,43.0339,-87.9332,$39,Lakefront Promotions,Top comedians on stage.
7f4514f3,Family Fest 2026,Comedy,2025-12-07,Fiserv Forum,43.0437,-87.9172,$188,Lakefront Promotions,Top comedians on stage.
e3ae8a5b,Sports Fest 2026,Family,2025-12-12,Pabst Theater,43.0431,-87.9104,$42,Local Arts Council,Live performances and great vibes.
1464691a,Family Fest 2025,Comedy,2025-09-11,Pabst Theater,43.0431,-87.9104,$75,MKE Live,Networking and inspiration for professionals.
11f1a859,Food Fest 2026,Comedy,2025-09-02,Fiserv Forum,43.0437,-87.9172,$138,Midwest Startups,Top comedians on stage.
b0f2cc04,Art Fest 2026,Comedy,2025-10-19,Turner Hall Ballroom,43.0432,-87.9105,Free,MKE Live,Community event celebrating Milwaukee.
bfa20177,Art Fest 2024,Business,2025-10-11,UWM Campus,43.0766,-87.88,Free,Lakefront Promotions,Community event celebrating Milwaukee.
4f878506,Tech Fest 2024,Art,2025-08-28,Pabst Theater,43.0431,-87.9104,Free,Midwest Startups,Workshops and interactive exhibits.
d707b27b,Business Fest 2024,Cultural,2025-11-30,Discovery World,43.0387,-87.8966,$16,Local Arts Council,Community event celebrating Milwaukee.
d51dae85,Family Fest 2026,Business,2025-09-03,Lakefront Brewery,43.0525,-87.9058,$26,Comedy Nights WI,Family-friendly activities and vendors.
e5c771b7,Family Fest 2024,Cultural,2025-10-04,Bradley Symphony Center,43.0385,-87.906,$125,Comedy Nights WI,Workshops and interactive exhibits.
1d670a1d,Tech Fest 2024,Business,2025-10-09,UWM Campus,43.0766,-87.88,$145,Midwest Startups,Community event celebrating Milwaukee.
41168649,Cultural Fest 2026,Business,2025-08-22,Turner Hall Ballroom,43.0432,-87.9105,Free,Wisconsin Tech Society,Workshops and interactive exhibits.
69eff24b,Art Fest 2025,Sports,2025-08-30,Potawatomi Hotel,43.0339,-87.9332,Free,Local Arts Council,Community event celebrating Milwaukee.
af362f72,Family Fest 2026,Business,2025-08-30,Turner Hall Ballroom,43.0432,-87.9105,$153,MKE Live,Family-friendly activities and vendors.
461bfdb8,Family Fest 2024,Comedy,2025-11-25,Milwaukee Art Museum,43.0389,-87.8971,$97,City of Milwaukee,Live performances and great vibes.
23668d44,Tech Fest 2025,Education,2025-08-25,Pabst Theater,43.0431,-87.9104,$15,City of Milwaukee,"Discover flavors, music, and culture."
abe100a8,Food Fest 2026,Education,2025-10-25,Bradley Symphony Center,43.0385,-87.906,$110,Comedy Nights WI,Networking and inspiration for professionals.
b0e77c59,Art Fest 2025,Music,2025-09-26,Lakefront Brewery,43.0525,-87.9058,$43,Milwaukee Events Co.,Community event celebrating Milwaukee.
0ed1488a,Music Fest 2026,Tech,2025-09-05,Milwaukee Art Museum,43.0389,-87.8971,$47,Midwest Startups,Top comedians on stage.
8da774a0,Education Fest 2026,Art,2025-08-23,Lakefront Brewery,43.0525,-87.9058,$47,Local Arts Council,Family-friendly activities and vendors.
cd5b779e,Food Fest 2026,Music,2025-09-08,Pabst Theater,43.0431,-87.9104,Free,Milwaukee Events Co.,Community event celebrating Milwaukee.
23bc116d,Education Fest 2026,Comedy,2025-08-29,Pabst Theater,43.0431,-87.9104,$45,Milwaukee Events Co.,Top comedians on stage.
00a68fc4,Education Fest 2025,Cultural,2025-10-19,Fiserv Forum,43.0437,-87.9172,Free,Comedy Nights WI,Family-friendly activities and vendors.
d9d7f080,Food Fest 2025,Sports,2025-10-28,Milwaukee Art Museum,43.0389,-87.8971,Free,Comedy Nights WI,Top comedians on stage.
bf14fd16,Tech Fest 2026,Art,2025-11-15,Bradley Symphony Center,43.0385,-87.906,$50,City of Milwaukee,"Discover flavors, music, and culture."
1d29cf8a,Music Fest 2026,Family,2025-09-22,Potawatomi Hotel,43.0339,-87.9332,$106,Local Arts Council,Live performances and great vibes.
f7aaa8ae,Art Fest 2024,Business,2025-09-26,Discovery World,43.0387,-87.8966,$106,Lakefront Promotions,Top comedians on stage.
a9309f9e,Tech Fest 2026,Cultural,2025-11-14,Potawatomi Hotel,43.0339,-87.9332,$67,Comedy Nights WI,Live performances and great vibes.
f3282d5c,Business Fest 2025,Art,2025-10-24,Marcus Performing Arts Center,43.0415,-87.9098,Free,City of Milwaukee,"Discover flavors, music, and culture."
47f17642,Music Fest 2026,Family,2025-08-22,Bradley Symphony Center,43.0385,-87.906,$179,UWM Student Union,"Discover flavors, music, and culture."
28ca08ec,Cultural Fest 2024,Education,2025-08-29,Potawatomi Hotel,43.0339,-87.9332,$119,Midwest Startups,Community event celebrating Milwaukee.
d78fad92,Music Fest 2024,Business,2025-09-30,Fiserv Forum,43.0437,-87.9172,Free,UWM Student Union,Top comedians on stage.
14d976c7,Family Fest 2024,Sports,2025-09-16,Turner Hall Ballroom,43.0432,-87.9105,$73,UWM Student Union,Top comedians on stage.
7df61771,Education Fest 2024,Art,2025-08-27,Marcus Performing Arts Center,43.0415,-87.9098,$76,Local Arts Council,Networking and inspiration for professionals.
542e84ba,Family Fest 2026,Tech,2025-10-02,Discovery World,43.0387,-87.8966,$12,UWM Student Union,"Discover flavors, music, and culture."
33ec0957,Education Fest 2025,Food,2025-10-17,Potawatomi Hotel,43.0339,-87.9332,Free,UWM Student Union,Networking and inspiration for professionals.
0186c310,Food Fest 2024,Comedy,2025-10-09,Lakefront Brewery,43.0525,-87.9058,Free,City of Milwaukee,Live performances and great vibes.
e916bf16,Education Fest 2025,Comedy,2025-10-19,Lakefront Brewery,43.0525,-87.9058,Free,Lakefront Promotions,"Discover flavors, music, and culture."
14ed9dac,Business Fest 2026,Comedy,2025-09-15,Milwaukee Art Museum,43.0389,-87.8971,Free,Milwaukee Events Co.,Workshops and interactive exhibits.
208c5790,Sports Fest 2025,Art,2025-12-17,Discovery World,43.0387,-87.8966,$36,Wisconsin Tech Society,Top comedians on stage.
2364a41f,Comedy Fest 2026,Art,2025-10-18,Fiserv Forum,43.0437,-87.9172,$25,Local Arts Council,"Discover flavors, music, and culture."
2dee5ef5,Tech Fest 2024,Education,2025-12-09,Milwaukee Art Museum,43.0389,-87.8971,$25,Milwaukee Events Co.,Community event celebrating Milwaukee.
b10380fd,Comedy Fest 2025,Comedy,2025-09-12,Bradley Symphony Center,43.0385,-87.906,Free,Milwaukee Events Co.,Live performances and great vibes.
903ecdbc,Sports Fest 2024,Business,2025-09-13,Potawatomi Hotel,43.0339,-87.9332,Free,Midwest Startups,Workshops and interactive exhibits.
347f9236,Family Fest 2025,Education,2025-10-04,Bradley Symphony Center,43.0385,-87.906,$137,UWM Student Union,Family-friendly activities and vendors.
da67b25f,Food Fest 2026,Cultural,2025-12-08,Discovery World,43.0387,-87.8966,Free,MKE Live,Community event celebrating Milwaukee.
834fc7be,Cultural Fest 2026,Family,2025-10-23,Fiserv Forum,43.0437,-87.9172,$35,UWM Student Union,Family-friendly activities and vendors.
1d74c917,Art Fest 2026,Education,2025-09-18,Turner Hall Ballroom,43.0432,-87.9105,$48,City of Milwaukee,"Discover flavors, music, and culture."
af426120,Education Fest 2024,Education,2025-12-02,Potawatomi Hotel,43.0339,-87.9332,Free,MKE Live,Community event celebrating Milwaukee.
44eca758,Food Fest 2026,Family,2025-09-15,Milwaukee Art Museum,43.0389,-87.8971,$38,City of Milwaukee,Top comedians on stage.
c512e30e,Business Fest 2024,Business,2025-10-11,Turner Hall Ballroom,43.0432,-87.9105,$37,Comedy Nights WI,"Discover flavors, music, and culture."
a5d48024,Tech Fest 2025,Art,2025-11-14,Potawatomi Hotel,43.0339,-87.9332,Free,Lakefront Promotions,Live performances and great vibes.
8d62d421,Cultural Fest 2025,Family,2025-09-08,Pabst Theater,43.0431,-87.9104,Free,Milwaukee Events Co.,Live performances and great vibes.
2cf0de73,Education Fest 2026,Sports,2025-09-01,Marcus Performing Arts Center,43.0415,-87.9098,$77,Local Arts Council,Family-friendly activities and vendors.
fc889c9e,Tech Fest 2024,Music,2025-08-25,Lakefront Brewery,43.0525,-87.9058,$170,Lakefront Promotions,Networking and inspiration for professionals.
9e17ea24,Business Fest 2025,Sports,2025-10-31,Lakefront Brewery,43.0525,-87.9058,Free,City of Milwaukee,Community event celebrating Milwaukee.
d2d8a3f1,Sports Fest 2024,Tech,2025-11-23,Potawatomi Hotel,43.0339,-87.9332,Free,MKE Live,"Discover flavors, music, and culture."
